period_days,duration_hrs,depth_ppm,radius_rearth,impact,teff,logg,st_rad,mission,label
21.81295996,4.3791,1175.4,3.38,0.053,5601.0,4.41,0.999,KEPLER,CONFIRMED
7.91936937,3.3148,15148.0,10.34,0.733,5690.0,4.588,0.776,KEPLER,FALSE POSITIVE
1.028436523,1.8606,8098.0,72.77,1.5734,6228.0,4.428,0.99,KEPLER,CANDIDATE
15.37562369,3.3169,15337.0,11.01,0.692,4986.0,4.496,0.833,KEPLER,CONFIRMED
8.10363271,3.161,887.9,2.11,0.047,4861.0,4.574,0.732,KEPLER,CONFIRMED
4.71510843,2.506,417.5,1.46,0.258,4861.0,4.574,0.732,KEPLER,CONFIRMED
6.365839713,2.9721,780.7,2.44,0.524,5776.0,4.554,0.849,KEPLER,CONFIRMED
5.97581754,3.065,962.4,3.86,0.941,6108.0,4.471,0.997,KEPLER,FALSE POSITIVE
2.446737317,4.7211,1177.9,26.25,1.241,5764.0,4.548,0.863,KEPLER,FALSE POSITIVE
3.04033046,1.8411,10859.0,8.99,0.736,5035.0,4.519,0.791,KEPLER,CONFIRMED
15.33528675,3.897,3081.4,5.0,0.773,5251.0,4.581,0.817,KEPLER,CONFIRMED
7.95825328,4.377,50.0,1.06,0.706,5847.0,4.191,1.402,KEPLER,CONFIRMED
31.33046135,5.176,5073.8,6.5,0.798,5251.0,4.581,0.817,KEPLER,CONFIRMED
3.9043425,3.831,16228.0,12.28,0.709,5810.0,4.526,0.898,KEPLER,FALSE POSITIVE
9.286358079,3.49949,44791.0,17.61,0.377,5670.0,4.523,0.821,KEPLER,FALSE POSITIVE
3.951405455,2.1862,2453.9,31.44,1.276,6046.0,4.539,0.869,KEPLER,FALSE POSITIVE
23.65369415,8.2183,3341.8,7.89,0.008,5739.0,4.191,1.384,KEPLER,CONFIRMED
13.23352214,6.7372,504.6,3.06,0.014,5739.0,4.191,1.384,KEPLER,CONFIRMED
6.15560285,4.9843,285.0,2.32,0.235,5739.0,4.191,1.384,KEPLER,CONFIRMED
2.090811305,3.388,115.9,1.62,0.746,5739.0,4.191,1.384,KEPLER,CONFIRMED
3.180027898,3.5797,120.3,1.53,0.196,5847.0,4.191,1.402,KEPLER,CONFIRMED
50.4467417,7.159,370.3,2.67,0.379,5739.0,4.191,1.384,KEPLER,CONFIRMED
11.76307164,2.9076,1037.3,2.35,0.048,4959.0,4.603,0.756,KEPLER,CONFIRMED
56.2279271,3.57,862.7,2.37,0.7,4959.0,4.603,0.756,KEPLER,CONFIRMED
2.384052875,3.0918,1268.1,17.06,1.178,4794.0,4.58,0.701,KEPLER,FALSE POSITIVE
7.953547,2.6312,875.4,2.25,0.3,4768.0,4.536,0.779,KEPLER,CONFIRMED
4.14451656,2.3421,391.8,1.48,0.004,4768.0,4.536,0.779,KEPLER,CONFIRMED
4.859386384,2.2757,6044.3,38.33,1.259,6072.0,4.47,0.988,KEPLER,FALSE POSITIVE
10.526294577,2.5211,9768.0,8.24,0.644,5386.0,4.553,0.793,KEPLER,CONFIRMED
4.583520948,2.7055,3812.1,5.39,0.045,5815.0,4.54,0.877,KEPLER,CONFIRMED
3.76181843,3.5176,510.6,2.66,0.926,5653.0,4.472,0.949,KEPLER,CONFIRMED
8.20396958,2.9667,1024.4,3.01,0.823,5015.0,4.499,0.826,KEPLER,CONFIRMED
14.49645186,4.016,647.5,3.01,0.97,5015.0,4.499,0.826,KEPLER,CONFIRMED
6.54626149,2.75,655.9,2.19,0.644,5251.0,4.581,0.817,KEPLER,CONFIRMED
12.71809866,3.0957,1149.4,2.31,0.427,4702.0,4.592,0.686,KEPLER,CONFIRMED
36.06588163,4.3246,1563.8,2.64,0.26,4702.0,4.592,0.686,KEPLER,CONFIRMED
4.190425659,2.8589,2877.4,6.21,0.458,6073.0,4.392,1.135,KEPLER,CONFIRMED
3.709870784,3.0694,2020.3,4.35,0.023,5727.0,4.463,0.978,KEPLER,CONFIRMED
16.3297527,6.271,1187.5,3.75,0.791,5878.0,4.444,0.987,KEPLER,CONFIRMED
27.807566216,4.21587,25391.0,13.84,0.782,5862.0,4.584,0.785,KEPLER,CONFIRMED
80.8723469,11.195,3604.6,7.59,0.527,5510.0,4.222,1.238,KEPLER,CONFIRMED
3.166465862,2.9381,4357.2,26.82,1.266,4968.0,4.575,0.704,KEPLER,FALSE POSITIVE
24.99324319,5.9409,269.6,2.29,0.686,5718.0,4.181,1.317,KEPLER,CONFIRMED
10.35533116,3.1775,750.6,2.47,0.029,5501.0,4.462,0.918,KEPLER,CONFIRMED
